FID,RiverMile,Name,RMNum,DryPer,Latitude,Longitude
179,MILE 66, ,66,0,33.64721482,-106.989853
180,MILE 65, ,65,0,33.63327231,-106.9946875
181,MILE 64, ,64,0,33.62223865,-107.0056339
182,MILE 63, ,63,0,33.61070556,-107.0172142
183,MILE 62, ,62,0,33.60156178,-107.0290599
184,MILE 61, ,61,0,33.59371025,-107.0429299
185,MILE 60, ,60,0,33.58775907,-107.0563672
186,MILE 59, ,59,0,33.57569938,-107.066099
187,MILE 58, ,58,0,33.56160803,-107.0726703
188,MILE 57, ,57,0,33.54710466,-107.0781103
189,MILE 56, ,56,0,33.53400171,-107.0869885
190,MILE 55, ,55,0,33.52601944,-107.102604
191,MILE 54, ,54,0,33.51300224,-107.1124884
192,MILE 53, ,53,0,33.49952578,-107.1216603
193,MILE 52, ,52,0,33.48489081,-107.1229153
194,MILE 51, ,51,0,33.47497904,-107.1355516
195,MILE 50, ,50,0,33.46850873,-107.1520219
196,MILE 49, ,49,0,33.45466092,-107.1532692
197,MILE 48, ,48,0,33.43966447,-107.1535449
198,MILE 47, ,47,0,33.42925912,-107.1662803
199,MILE 46, ,46,0,33.41445684,-107.1689768
200,MILE 45, ,45,0,33.40005583,-107.1626907
201,MILE 44, ,44,0,33.38513994,-107.1627423
202,MILE 43, ,43,0,33.37151087,-107.1696211
203,MILE 42, ,42,0,33.36036744,-107.1735555
204,MILE 41, ,41,0,33.34694591,-107.1787655
205,MILE 40, ,40,0,33.33265478,-107.1815491
206,MILE 39, ,39,0,33.32542659,-107.169008
207,MILE 38, ,38,0,33.3119907,-107.1674609
208,MILE 37, ,37,0,33.29772477,-107.1601266
209,MILE 36, ,36,0,33.28222271,-107.1603994
210,MILE 35, ,35,0,33.26716421,-107.1649548
211,MILE 34, ,34,0,33.25157082,-107.1650897
212,MILE 33, ,33,0,33.23612394,-107.1625993
213,MILE 32, ,32,0,33.22112947,-107.1648918
214,MILE 31, ,31,0,33.21355896,-107.1809994
215,MILE 30, ,30,0,33.1996313,-107.1838558
216,MILE 29, ,29,0,33.18447244,-107.1876807
217,MILE 28, ,28,0,33.17043018,-107.1816432
218,MILE 27, ,27,0,33.1583761,-107.1864511
219,MILE 286, ,286,0,36.19525752,-105.9749855
220,MILE 285, ,285,0,36.18231092,-105.979257
221,MILE 284, ,284,0,36.17094001,-105.9735007
222,MILE 283, ,283,0,36.15770418,-105.9786838
223,MILE 282, ,282,0,36.15363892,-105.9945152
224,MILE 281, ,281,0,36.14266765,-106.0044312
225,MILE 280, ,280,0,36.1347313,-106.0186872
226,MILE 279, ,279,0,36.12699858,-106.0328193
227,MILE 278, ,278,0,36.11873647,-106.0459873
228,MILE 277, ,277,0,36.10904311,-106.0577273
229,MILE 276, ,276,0,36.09542235,-106.0631995
230,MILE 275, ,275,0,36.08272201,-106.0698796
231,MILE 274, ,274,0,36.06978459,-106.0736106
232,MILE 273, ,273,0,36.05772867,-106.0819497
233,MILE 272, ,272,0,36.04438028,-106.0837202
234,MILE 271, ,271,0,36.03318532,-106.0831788
235,MILE 270, ,270,0,36.02206813,-106.0754713
236,MILE 269, ,269,0,36.00806697,-106.0724369
237,MILE 268, ,268,0,35.99368308,-106.072901
238,MILE 267, ,267,0,35.9803968,-106.0785027
239,MILE 266, ,266,0,35.96658416,-106.0783838
240,MILE 265, ,265,0,35.95297302,-106.0785681
241,MILE 264, ,264,0,35.94685746,-106.0931701
242,MILE 263, ,263,0,35.93712585,-106.1020626
243,MILE 262, ,262,0,35.92698735,-106.1123437
244,MILE 261, ,261,0,35.91468076,-106.1169612
245,MILE 260, ,260,0,35.90256421,-106.1245569
246,MILE 259, ,259,0,35.89244084,-106.1339362
247,MILE 258, ,258,0,35.88028199,-106.1393641
248,MILE 257, ,257,0,35.87122303,-106.149989
249,MILE 256, ,256,0,35.85886927,-106.1558174
250,MILE 255, ,255,0,35.84629833,-106.1579112
251,MILE 254, ,254,0,35.8357057,-106.1641939
252,MILE 253, ,253,0,35.82530659,-106.1739836
253,MILE 252, ,252,0,35.81315591,-106.1800732
254,MILE 251, ,251,0,35.80543269,-106.1907476
255,MILE 250, ,250,0,35.79368343,-106.196521
256,MILE 249, ,249,0,35.78301426,-106.2033638
257,MILE 248, ,248,0,35.7749092,-106.2155039
258,MILE 247, ,247,0,35.76668724,-106.2272529
259,MILE 246, ,246,0,35.76142291,-106.2422935
260,MILE 245, ,245,0,35.75244046,-106.2533944
261,MILE 244, ,244,0,35.74074238,-106.2609698
262,MILE 243, ,243,0,35.72728421,-106.2650862
