"Date","URM","LRM","Distance","Year"
"141",2004-07-20,164.5,152.5,12,2004
"142",2004-07-20,99.5,74,25.5,2004
"143",2004-07-21,99.8,74,25.8,2004
"144",2004-07-21,99.5,74,25.5,2004
"145",2004-07-22,135.3,132,3.3,2004
"146",2004-07-22,99.5,74,25.5,2004
"147",2004-07-23,135.8,132,3.8,2004
"148",2004-07-31,160.8,152.5,8.3,2004
"149",2004-07-05,154.5,152.5,2,2004
"150",2004-07-06,155.4,152.5,2.9,2004
"151",2004-07-07,155.5,152.5,3,2004
"152",2004-07-08,159.8,152.5,7.3,2004
"153",2004-08-10,164.3,152.5,11.8,2004
"154",2004-08-10,90.9,74,16.9,2004
"155",2004-08-11,116.2,74,42.2,2004
"156",2004-08-11,96.2,74,22.2,2004
"157",2004-08-11,85.1,74,11.1,2004
"158",2004-08-11,80.4,74,6.4,2004
"159",2004-08-12,88.1,74,14.1,2004
"160",2004-08-13,164.6,152.5,12.1,2004
"161",2004-08-13,99.5,74,25.5,2004
"162",2004-08-13,81.6,74,7.6,2004
"163",2004-08-14,164.9,152.5,12.4,2004
"164",2004-08-14,99,74,25,2004
"165",2004-08-15,164.8,152.5,12.3,2004
"166",2004-08-15,116.2,74,42.2,2004
"167",2004-08-15,99.8,74,25.8,2004
"168",2004-08-16,134.3,132,2.3,2004
"169",2004-08-16,133.4,132,1.4,2004
"170",2004-08-16,127.6,116.2,11.4,2004
"171",2004-08-16,96.8,74,22.8,2004
"172",2004-08-02,164,152.5,11.5,2004
"173",2004-08-02,161.4,152.5,8.9,2004
"174",2004-08-22,164.9,152.5,12.4,2004
"175",2004-08-23,167.4,152.5,14.9,2004
"176",2004-08-23,167.3,152.5,14.8,2004
"177",2004-08-23,165.1,152.5,12.6,2004
"178",2004-08-24,166.5,152.5,14,2004
"179",2004-08-24,165.1,152.5,12.6,2004
"180",2004-08-25,167.3,152.5,14.8,2004
"181",2004-08-25,166.5,152.5,14,2004
"182",2004-08-25,165.1,152.5,12.6,2004
"183",2004-08-27,167.3,152.5,14.8,2004
"184",2004-08-27,140.8,132,8.8,2004
"185",2004-08-28,135.4,132,3.4,2004
"186",2004-08-29,166.8,152.5,14.3,2004
"187",2004-08-03,81.4,74,7.4,2004
"188",2004-08-04,155.9,152.5,3.4,2004
"189",2004-08-05,155.9,152.5,3.4,2004
"190",2004-08-06,155.9,152.5,3.4,2004
"191",2004-08-07,162.9,152.5,10.4,2004
"192",2004-08-08,163.9,152.5,11.4,2004
"193",2004-08-08,163.6,152.5,11.1,2004
"194",2004-08-09,164.3,152.5,11.8,2004
"195",2004-08-09,164,152.5,11.5,2004
"196",2004-09-01,104.5,74,30.5,2004
"197",2004-09-10,110.1,74,36.1,2004
"198",2004-09-10,110.1,74,36.1,2004
"199",2004-09-11,109.5,74,35.5,2004
"200",2004-09-11,98.5,74,24.5,2004
"201",2004-09-12,99.1,74,25.1,2004
"202",2004-09-12,99.1,74,25.1,2004
"203",2004-09-13,109.1,74,35.1,2004
"204",2004-09-13,99.5,74,25.5,2004
"205",2004-09-14,109.1,74,35.1,2004
"206",2004-09-14,99.5,74,25.5,2004
"207",2004-09-15,109.8,74,35.8,2004
"208",2004-09-15,99.5,74,25.5,2004
"209",2004-09-15,99.5,74,25.5,2004
"210",2004-09-16,137,132,5,2004
"211",2004-09-16,109.8,74,35.8,2004
"212",2004-09-17,110,74,36,2004
"213",2004-09-17,99.8,74,25.8,2004
